priority_rank,canonical_condition,canonical_condition_id,bank_id,current_bank_version,icd_families,base_question_count,reused_question_count,new_question_count,monthly_question_count,red_flag_count,variant_count,outstanding_review_concerns,feedback_action,proposed_text,reviewer,reviewed_at,rationale,disposition,accepted_by,accepted_at,feedback_id,row_type,variant_id,question_id,current_question_version,question_text,current_selection_level,current_urgency,current_branching,proposed_selection_level,proposed_urgency,proposed_branching
1,Chronic Back Pain,chronic_back_pain,ccm-bank.chronic_back_pain,1,M54,12,12,6,11,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit reuse/merge concern (HIGH): Consider one chronic-pain canonical core with back-pain and neoplasm-related variants; preserve site-specific functional modules where needed.,,,,,,pending,,,bank:chronic_back_pain,bank,,,,,,,,,,
2,Atrial Fibrillation,atrial_fibrillation,ccm-bank.atrial_fibrillation,1,I48,9,9,5,8,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:atrial_fibrillation,bank,,,,,,,,,,
3,Peripheral Vascular Disease,peripheral_vascular_disease,ccm-bank.peripheral_vascular_disease,1,I70; I73,9,7,4,8,2,0,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit split concern (HIGH): Split general content by uncomplicated disease, ulceration, gangrene, and revascularization/amputation burden; laterality alone should still collapse.",,,,,,pending,,,bank:peripheral_vascular_disease,bank,,,,,,,,,,
4,Type 2 Diabetes,type_2_diabetes,ccm-bank.type_2_diabetes,1,E11,9,15,2,15,0,4,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit reuse/merge concern (MEDIUM): Retain distinct canonical IDs, but share a diabetes core and complication modules to avoid duplicate questions. | Existing canonical audit reuse/merge concern (MEDIUM): Keep neuropathy independently selectable while reusing a complication module for diabetic neuropathy. | 4 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:type_2_diabetes,bank,,,,,,,,,,
5,Coronary Artery Disease,coronary_artery_disease,ccm-bank.coronary_artery_disease,1,I25,9,9,4,8,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:coronary_artery_disease,bank,,,,,,,,,,
6,Gastroesophageal Reflux Disease,gerd,ccm-bank.gerd,1,K21,7,6,3,6,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:gerd,bank,,,,,,,,,,
7,Active Malignancy,malignancy,ccm-bank.malignancy,1,C00; C01; C02; C03; C04; C05; C06; C07; C08; C09; C10; C11; C12; C13; C14; C15; C16; C17; C18; C19; C20; C21; C22; C23; C24; C25; C26; C30; C31; C32; C33; C34; C37; C38; C39; C40; C41; C43; C44; C45; C46; C47; C48; C49; C4A; C50; C51; C52; C53; C54; C55; C56; C57; C58; C60; C61; C62; C63; C64; C65; C66; C67; C68; C69; C70; C71; C72; C73; C74; C75; C76; C77; C78; C79; C7A; C7B; C80; C81; C82; C83; C84; C85; C86; C88; C90; C91; C92; C93; C94; C95; C96,9,12,4,14,0,3,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Cancer site and treatment phase still require coordinator judgment. | Existing canonical audit split concern (HIGH): Retain site families but add active treatment, metastatic disease, remission/surveillance, and symptom-burden dimensions. | 3 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:malignancy,bank,,,,,,,,,,
8,Peripheral Neuropathy,peripheral_neuropathy,ccm-bank.peripheral_neuropathy,1,G62,10,9,4,9,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit reuse/merge concern (MEDIUM): Keep neuropathy independently selectable while reusing a complication module for diabetic neuropathy.,,,,,,pending,,,bank:peripheral_neuropathy,bank,,,,,,,,,,
9,Chronic Heart Failure,chronic_heart_failure,ccm-bank.chronic_heart_failure,1,I50,10,8,2,9,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:chronic_heart_failure,bank,,,,,,,,,,
10,COPD,copd,ccm-bank.copd,1,J43; J44,11,10,6,10,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:copd,bank,,,,,,,,,,
11,Major Depressive Disorder,major_depressive_disorder,ccm-bank.major_depressive_disorder,1,F32; F33,8,8,2,7,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:major_depressive_disorder,bank,,,,,,,,,,
12,Glaucoma,glaucoma,ccm-bank.glaucoma,1,H40; H42,6,9,3,8,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Small preset; confirm it is sufficient for the clinic's patient mix. | Clinician must approve local escalation thresholds and notification timing. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:glaucoma,bank,,,,,,,,,,
13,Chronic Kidney Disease,chronic_kidney_disease,ccm-bank.chronic_kidney_disease,1,N18; Z99,8,11,3,12,0,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:chronic_kidney_disease,bank,,,,,,,,,,
14,Age-related Macular Degeneration,age_related_macular_degeneration,ccm-bank.age_related_macular_degeneration,1,H35,8,8,3,7,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Small preset; confirm it is sufficient for the clinic's patient mix. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:age_related_macular_degeneration,bank,,,,,,,,,,
15,Dementia,dementia,ccm-bank.dementia,1,F01; F02; F03; G30,8,9,2,10,0,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:dementia,bank,,,,,,,,,,
16,Osteoarthritis,osteoarthritis,ccm-bank.osteoarthritis,1,M15; M16; M17; M18; M19,8,8,2,7,0,0,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit split concern (MEDIUM): Laterality should remain collapsed, but weight-bearing versus upper-extremity disease may need different function and fall-risk modules.",,,,,,pending,,,bank:osteoarthritis,bank,,,,,,,,,,
17,Osteoporosis,osteoporosis,ccm-bank.osteoporosis,1,M80; M81,8,9,2,10,0,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit split concern (MEDIUM): Current-fracture separation is useful; consider healing status and recurrent-fracture risk without creating site-by-side profiles. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:osteoporosis,bank,,,,,,,,,,
18,Chronic Pain,chronic_pain,ccm-bank.chronic_pain,1,G89,8,8,1,7,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit reuse/merge concern (HIGH): Consider one chronic-pain canonical core with back-pain and neoplasm-related variants; preserve site-specific functional modules where needed.,,,,,,pending,,,bank:chronic_pain,bank,,,,,,,,,,
19,Anemia,anemia,ccm-bank.anemia,1,D64,8,7,3,7,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:anemia,bank,,,,,,,,,,
20,Essential Hypertension,essential_hypertension,ccm-bank.essential_hypertension,1,I10,7,6,2,6,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:essential_hypertension,bank,,,,,,,,,,
21,Sleep Apnea,sleep_apnea,ccm-bank.sleep_apnea,1,G47,8,6,3,7,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:sleep_apnea,bank,,,,,,,,,,
22,Hypothyroidism,hypothyroidism,ccm-bank.hypothyroidism,1,E03,7,7,2,6,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Small preset; confirm it is sufficient for the clinic's patient mix.,,,,,,pending,,,bank:hypothyroidism,bank,,,,,,,,,,
23,Obesity,obesity,ccm-bank.obesity,1,E66,7,6,1,6,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Small preset; confirm it is sufficient for the clinic's patient mix. | Keep wording weight-neutral and align goals with the patient's agreed plan.,,,,,,pending,,,bank:obesity,bank,,,,,,,,,,
24,Hyperlipidemia,hyperlipidemia,ccm-bank.hyperlipidemia,1,E78,6,5,2,5,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Small preset; confirm it is sufficient for the clinic's patient mix.,,,,,,pending,,,bank:hyperlipidemia,bank,,,,,,,,,,
25,Lumbar Disc Disease,lumbar_disc_disease,ccm-bank.lumbar_disc_disease,1,M51,15,17,10,16,3,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:lumbar_disc_disease,bank,,,,,,,,,,
26,Cervical Disc Disease,cervical_disc_disease,ccm-bank.cervical_disc_disease,1,M50,14,17,10,16,3,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:cervical_disc_disease,bank,,,,,,,,,,
27,Cervical Radiculopathy,cervical_radiculopathy,ccm-bank.cervical_radiculopathy,1,M54,17,17,10,16,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:cervical_radiculopathy,bank,,,,,,,,,,
28,Lumbar Radiculopathy,lumbar_radiculopathy,ccm-bank.lumbar_radiculopathy,1,M54,17,17,10,16,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:lumbar_radiculopathy,bank,,,,,,,,,,
29,Cervical Spinal Stenosis,cervical_spinal_stenosis,ccm-bank.cervical_spinal_stenosis,1,M48,16,16,9,15,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:cervical_spinal_stenosis,bank,,,,,,,,,,
30,Valvular Heart Disease,valvular_heart_disease,ccm-bank.valvular_heart_disease,1,I34; I35; I36; I37; I38,10,10,4,10,3,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:valvular_heart_disease,bank,,,,,,,,,,
31,Cirrhosis,cirrhosis,ccm-bank.cirrhosis,1,K74,13,10,7,12,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:cirrhosis,bank,,,,,,,,,,
32,Lumbar Spinal Stenosis,lumbar_spinal_stenosis,ccm-bank.lumbar_spinal_stenosis,1,M48,12,12,8,12,3,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:lumbar_spinal_stenosis,bank,,,,,,,,,,
33,Myasthenia Gravis,myasthenia_gravis,ccm-bank.myasthenia_gravis,1,G70,13,14,7,13,2,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:myasthenia_gravis,bank,,,,,,,,,,
34,Amyotrophic Lateral Sclerosis,amyotrophic_lateral_sclerosis,ccm-bank.amyotrophic_lateral_sclerosis,1,G12,14,14,7,13,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:amyotrophic_lateral_sclerosis,bank,,,,,,,,,,
35,Cerebral Palsy,cerebral_palsy,ccm-bank.cerebral_palsy,1,G80,14,14,7,13,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:cerebral_palsy,bank,,,,,,,,,,
36,Muscular Dystrophy,muscular_dystrophy,ccm-bank.muscular_dystrophy,1,G71,14,14,7,13,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:muscular_dystrophy,bank,,,,,,,,,,
37,Aortic Aneurysm,aortic_aneurysm,ccm-bank.aortic_aneurysm,1,I71,12,10,6,12,2,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:aortic_aneurysm,bank,,,,,,,,,,
38,Sickle Cell Disease,sickle_cell_disease,ccm-bank.sickle_cell_disease,1,D57,10,9,6,11,2,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:sickle_cell_disease,bank,,,,,,,,,,
39,Non-Pressure Chronic Ulcer,non_pressure_chronic_ulcer,ccm-bank.non_pressure_chronic_ulcer,1,L97; L98,13,14,7,13,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:non_pressure_chronic_ulcer,bank,,,,,,,,,,
40,Chronic Gout,chronic_gout,ccm-bank.chronic_gout,1,M1A,13,12,7,13,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:chronic_gout,bank,,,,,,,,,,
41,Bronchiectasis,bronchiectasis,ccm-bank.bronchiectasis,1,J47,11,13,7,12,1,2,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 2 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:bronchiectasis,bank,,,,,,,,,,
42,Inflammatory Bowel Disease,inflammatory_bowel_disease,ccm-bank.inflammatory_bowel_disease,1,K50; K51,10,9,4,9,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:inflammatory_bowel_disease,bank,,,,,,,,,,
43,Ankylosing Spondylitis,ankylosing_spondylitis,ccm-bank.ankylosing_spondylitis,1,M45,13,13,6,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:ankylosing_spondylitis,bank,,,,,,,,,,
44,Interstitial Lung Disease,interstitial_lung_disease,ccm-bank.interstitial_lung_disease,1,J84,13,13,7,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:interstitial_lung_disease,bank,,,,,,,,,,
45,Systemic Lupus Erythematosus,systemic_lupus_erythematosus,ccm-bank.systemic_lupus_erythematosus,1,M32,13,12,6,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:systemic_lupus_erythematosus,bank,,,,,,,,,,
46,Chronic Osteomyelitis,chronic_osteomyelitis,ccm-bank.chronic_osteomyelitis,1,M86,13,13,7,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:chronic_osteomyelitis,bank,,,,,,,,,,
47,Alcohol Use Disorder,alcohol_use_disorder,ccm-bank.alcohol_use_disorder,1,F10,13,13,6,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:alcohol_use_disorder,bank,,,,,,,,,,
48,Opioid Use Disorder,opioid_use_disorder,ccm-bank.opioid_use_disorder,1,F11,13,13,6,12,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:opioid_use_disorder,bank,,,,,,,,,,
49,Visual Impairment,visual_impairment,ccm-bank.visual_impairment,1,H54,12,12,5,11,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:visual_impairment,bank,,,,,,,,,,
50,Sarcoidosis,sarcoidosis,ccm-bank.sarcoidosis,1,D86,12,12,6,11,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:sarcoidosis,bank,,,,,,,,,,
51,Adrenal Insufficiency,adrenal_insufficiency,ccm-bank.adrenal_insufficiency,1,E27,10,8,5,10,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:adrenal_insufficiency,bank,,,,,,,,,,
52,Chronic Venous Insufficiency,chronic_venous_insufficiency,ccm-bank.chronic_venous_insufficiency,1,I87,11,10,4,10,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:chronic_venous_insufficiency,bank,,,,,,,,,,
53,Post-Traumatic Stress Disorder,post_traumatic_stress_disorder,ccm-bank.post_traumatic_stress_disorder,1,F43,11,10,4,10,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:post_traumatic_stress_disorder,bank,,,,,,,,,,
54,Hyperthyroidism,hyperthyroidism,ccm-bank.hyperthyroidism,1,E05,9,10,4,9,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:hyperthyroidism,bank,,,,,,,,,,
55,Benign Prostatic Hyperplasia,benign_prostatic_hyperplasia,ccm-bank.benign_prostatic_hyperplasia,1,N40,9,7,5,9,1,1,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | 1 variant(s) require confirmation that activation criteria materially change CCM questioning.,,,,,,pending,,,bank:benign_prostatic_hyperplasia,bank,,,,,,,,,,
56,Nicotine Dependence,nicotine_dependence,ccm-bank.nicotine_dependence,1,F17,13,12,6,12,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:nicotine_dependence,bank,,,,,,,,,,
57,Epilepsy,epilepsy,ccm-bank.epilepsy,1,G40,9,7,2,8,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:epilepsy,bank,,,,,,,,,,
58,Psoriasis,psoriasis,ccm-bank.psoriasis,1,L40,9,8,5,8,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:psoriasis,bank,,,,,,,,,,
59,Type 1 Diabetes,type_1_diabetes,ccm-bank.type_1_diabetes,1,E10,5,13,0,13,0,4,"Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit reuse/merge concern (MEDIUM): Retain distinct canonical IDs, but share a diabetes core and complication modules to avoid duplicate questions. | Existing canonical audit reuse/merge concern (MEDIUM): Keep neuropathy independently selectable while reusing a complication module for diabetic neuropathy. | 4 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:type_1_diabetes,bank,,,,,,,,,,
60,Essential Tremor,essential_tremor,ccm-bank.essential_tremor,1,G25,12,10,5,11,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:essential_tremor,bank,,,,,,,,,,
61,Parkinson Disease,parkinson_disease,ccm-bank.parkinson_disease,1,G20,9,6,3,8,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:parkinson_disease,bank,,,,,,,,,,
62,Asthma,asthma,ccm-bank.asthma,1,J45,9,8,3,8,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:asthma,bank,,,,,,,,,,
63,Insomnia,insomnia,ccm-bank.insomnia,1,F51; G47,11,9,5,10,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:insomnia,bank,,,,,,,,,,
64,Hearing Loss,hearing_loss,ccm-bank.hearing_loss,1,H90; H91,9,6,5,8,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:hearing_loss,bank,,,,,,,,,,
65,Fibromyalgia,fibromyalgia,ccm-bank.fibromyalgia,1,M79,8,7,3,7,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:fibromyalgia,bank,,,,,,,,,,
66,Bipolar Disorder,bipolar_disorder,ccm-bank.bipolar_disorder,1,F31,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:bipolar_disorder,bank,,,,,,,,,,
67,Schizophrenia,schizophrenia,ccm-bank.schizophrenia,1,F20,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:schizophrenia,bank,,,,,,,,,,
68,Generalized Anxiety Disorder,generalized_anxiety_disorder,ccm-bank.generalized_anxiety_disorder,1,F41,7,7,1,6,0,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:generalized_anxiety_disorder,bank,,,,,,,,,,
69,Rheumatoid Arthritis,rheumatoid_arthritis,ccm-bank.rheumatoid_arthritis,1,M05; M06,7,7,0,6,0,0,"Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit split concern (HIGH): Separate general inflammatory arthritis from organ involvement, treatment toxicity, and severe functional impairment modules.",,,,,,pending,,,bank:rheumatoid_arthritis,bank,,,,,,,,,,
70,Dry Eye Syndrome,dry_eye_syndrome,ccm-bank.dry_eye_syndrome,1,H04,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:dry_eye_syndrome,bank,,,,,,,,,,
71,Pressure Ulcer,pressure_ulcer,ccm-bank.pressure_ulcer,1,L89,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:pressure_ulcer,bank,,,,,,,,,,
72,Cardiomyopathy,cardiomyopathy,ccm-bank.cardiomyopathy,1,I42,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:cardiomyopathy,bank,,,,,,,,,,
73,Cerebrovascular Disease,cerebrovascular_disease,ccm-bank.cerebrovascular_disease,1,I69,7,7,0,6,0,0,"Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit split concern (MEDIUM): Add deficit-specific modules for cognition, speech, motor impairment, swallowing, and mobility while sharing a stroke core.",,,,,,pending,,,bank:cerebrovascular_disease,bank,,,,,,,,,,
74,Chronic Migraine,chronic_migraine,ccm-bank.chronic_migraine,1,G43,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:chronic_migraine,bank,,,,,,,,,,
75,Chronic Respiratory Failure,chronic_respiratory_failure,ccm-bank.chronic_respiratory_failure,1,J96,6,6,0,5,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:chronic_respiratory_failure,bank,,,,,,,,,,
76,Chronic Viral Hepatitis,chronic_viral_hepatitis,ccm-bank.chronic_viral_hepatitis,1,B18,6,6,0,5,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:chronic_viral_hepatitis,bank,,,,,,,,,,
77,Multiple Sclerosis,multiple_sclerosis,ccm-bank.multiple_sclerosis,1,G35,12,12,5,11,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:multiple_sclerosis,bank,,,,,,,,,,
78,Secondary Diabetes Mellitus,secondary_diabetes_mellitus,ccm-bank.secondary_diabetes_mellitus,1,E08; E09; E13,5,13,0,13,0,4,"Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit reuse/merge concern (MEDIUM): Retain distinct canonical IDs, but share a diabetes core and complication modules to avoid duplicate questions. | 4 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:secondary_diabetes_mellitus,bank,,,,,,,,,,
79,Pulmonary Hypertension,pulmonary_hypertension,ccm-bank.pulmonary_hypertension,1,I27,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:pulmonary_hypertension,bank,,,,,,,,,,
80,Transplant Status,transplant_status,ccm-bank.transplant_status,1,Z94,7,7,0,6,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:transplant_status,bank,,,,,,,,,,
81,Human Immunodeficiency Virus Disease,hiv_disease,ccm-bank.hiv_disease,1,B20,6,6,0,5,0,0,Architecture seed only; condition-specific question selection remains outstanding. | Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval.,,,,,,pending,,,bank:hiv_disease,bank,,,,,,,,,,
